address,cityname,type,typecode,adname,name,location,cost,rating,comments_num
西直门外大街1号西环广场凯德Mall西直门1层49号,北京市,餐饮服务;冷饮店;冷饮店,50700,西城区,喜茶(北京凯德MALL西直门店),"116.352384,39.942165",,4.7,306.0
北三环东路36号楼E栋裙房L1层10单元,北京市,餐饮服务;冷饮店;冷饮店,50700,东城区,喜茶(北京环球贸易中心),"116.410974,39.965903",37.0,4.6,178.0
槐房西路9号院5号楼一层01号,北京市,餐饮服务;冷饮店;冷饮店,50700,丰台区,喜茶(北京丰台大悦春风里店),"116.364594,39.810036",,4.4,
安泰大街9号院的中粮祥云小镇南区3-104号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,顺义区,喜茶(北京中粮祥云小镇店),"116.536817,40.088242",35.0,4.8,537.0
西北旺东路10号院东区5号楼中关村软件园互联网创新中心一层114号铺位,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京中关村软件园店),"116.280687,40.047585",28.0,4.6,215.0
"丽泽路16号院1号楼龙湖·北京丽泽天街商场(A-1F-16b,A-1F-17)号房屋",北京市,餐饮服务;冷饮店;冷饮店,50700,丰台区,喜茶(北京丽泽龙湖天街店),"116.334609,39.865891",29.0,4.8,453.0
农大南路一号院一号楼北京百好吉上地店F1层,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(上地华联店),"116.311585,40.028916",26.0,4.7,209.0
西直门北大街32号院3号楼一层102-5至6号房间,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(枫蓝国际购物中心店),"116.356800,39.953438",27.0,4.7,482.0
北京经济技术开发区科创十一街20号,北京市,餐饮服务;冷饮店;冷饮店,50700,通州区,喜茶(北京京东总部2号楼店),"116.558582,39.784300",,4.4,71.0
前门大街A2-2号(前门地铁站I西南口步行80米),北京市,餐饮服务;冷饮店;冷饮店,50700,东城区,喜茶(北京前门大街店),"116.398255,39.898173",32.0,4.8,462.0
清河中街68号北京清河万象汇东区F1,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京清河万象汇店),"116.333906,40.030538",,4.7,210.0
建国路81号B1层B111a-1、B111b号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京华贸购物中心店),"116.479894,39.909049",29.0,4.8,656.0
北京经济技术开发区科创十一街18号B座L1层B-1F-020号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,通州区,喜茶(北京京东总部1号楼店),"116.562356,39.786782",34.0,4.4,213.0
东直门外大街48号银座商城L1层16&N12号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,东城区,喜茶(东直门银座mall店),"116.435749,39.940060",29.0,4.7,1219.0
西小口路66号中关村东升科技园北领地B-6楼B座B-6楼广场B15,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京东升科技园店),"116.356123,40.046922",30.0,4.6,440.0
酒仙桥路18号楼101号1层第72单元,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京颐堤港店),"116.492191,39.970565",29.0,4.7,704.0
酒仙桥路12号ATMALL F1层,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京酒仙桥A.T MALL 店),"116.490318,39.975850",28.0,4.7,643.0
南三环西路16号1号楼凯德MALL大峡谷商场01层09号铺位,北京市,餐饮服务;冷饮店;冷饮店,50700,丰台区,喜茶(北京凯德MALL大峡谷店),"116.366866,39.854506",33.0,4.7,775.0
王府井大街138号北京apm B1层B103A号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,东城区,喜茶(北京apm店),"116.412326,39.915196",31.0,4.8,613.0
东大街38号院大悦春风里购物中心1F-10号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,大兴区,喜茶(北京大兴大悦春风里店),"116.342021,39.730452",31.0,4.7,351.0
三间房双桥路3号双桥万达广场1层1027号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京双桥万达店),"116.576304,39.908771",32.0,4.8,401.0
太阳宫中路12号凯德MALL•太阳宫-商场01层54号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京凯德MALL太阳宫店),"116.447036,39.971492",28.0,4.6,878.0
荣华中路8号院1号楼北京华联力宝购物中心1层F1-18E单位,北京市,餐饮服务;冷饮店;冷饮店,50700,大兴区,喜茶(北京华联力宝购物中心店),"116.501225,39.804556",31.0,4.6,440.0
丰葆路88号院1号楼永旺梦乐城1层No.116号铺位,北京市,餐饮服务;冷饮店;冷饮店,50700,丰台区,喜茶(北京丰台永旺店),"116.293038,39.817723",29.0,4.6,402.0
北清路81号院二区四号楼,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京中关村壹号店),"116.247516,40.075848",30.0,4.7,377.0
新城东街17号院2号楼龙湖北京长安天街商场A馆-1F-14号房屋,北京市,餐饮服务;冷饮店;冷饮店,50700,门头沟区,喜茶(龙湖长安天街店),"116.122899,39.905394",30.0,4.7,488.0
朝外大街路26号一层F1-08室商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京朝阳门外店),"116.441218,39.921743",30.0,4.7,603.0
广安门外大街168号1幢1层101内043号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,西城区,喜茶(北京广安门天虹店),"116.341772,39.888651",30.0,4.7,699.0
建国门外大街2号院4号楼北京银泰中心in01地下一层B47号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京国贸银泰店),"116.458916,39.907525",31.0,4.7,624.0
望京浦项中心A座一层101单元,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京浦项中心店),"116.489194,39.999372",36.0,4.4,334.0
科学院南路2号融科资讯中心B座1层106单元,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(融科店),"116.326809,39.984767",31.0,4.6,511.0
汽车博物馆西路8号院华夏幸福创新中心项目25号地块1号楼1-111B号店铺,北京市,餐饮服务;冷饮店;冷饮店,50700,丰台区,喜茶(北京华夏幸福创新中心店),"116.300916,39.824626",33.0,4.7,506.0
双清路88号华源世纪商务楼一层112号店铺,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京清华东南门店),"116.334739,39.996520",31.0,4.8,522.0
新华西街58号通州万达广场1F,北京市,餐饮服务;冷饮店;冷饮店,50700,通州区,喜茶(北京通州万达店),"116.642716,39.905873",,4.8,1738.0
丰台北路18号院5号楼一层102-L1-26号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,丰台区,喜茶(北京金唐购物中心店),"116.305176,39.866313",33.0,4.8,
马家堡东路101号院10号楼银泰百货F1070铺位,北京市,餐饮服务;冷饮店;冷饮店,50700,丰台区,喜茶(银泰百货大红门店),"116.385794,39.844787",28.0,4.6,728.0
西二旗中路33号院2号楼一层004号铺位,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京小米科技园店),"116.317804,40.048172",27.0,4.4,132.0
复兴路翠微百货B-F1-007号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京翠微百货店),"116.305990,39.907983",30.0,4.6,632.0
拱辰北大街龙湖北京房山天街1F-48,北京市,餐饮服务;冷饮店;冷饮店,50700,房山区,喜茶(北京房山龙湖天街店),"116.141492,39.745857",30.0,4.7,907.0
荣华南路2号院7号楼大族广场购物中心F1-04号,北京市,餐饮服务;冷饮店;冷饮店,50700,大兴区,喜茶(北京大族广场店),"116.512455,39.792406",30.0,4.7,993.0
东三环中路7号财富购物中心一层1-08-1、1-09-1单元,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京财富购物中心店),"116.458857,39.918046",39.0,4.7,1574.0
方庄蒲芳路9号8号楼1层1313-F1-B027号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,丰台区,喜茶(北京蒲黄榆物美店),"116.423140,39.865989",28.0,4.7,935.0
金汇路8-9号楼E116B&E118单元,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京中骏世界城店),"116.452581,39.917853",34.0,4.8,1597.0
北辰东路8号院新辰里购物中心F1层,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京新辰里购物中心店),"116.406784,39.991471",29.0,4.7,1101.0
金城坊街9号楼一层F2-002号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,西城区,喜茶(北京金融街购物中心店),"116.361675,39.917218",39.0,4.7,1135.0
上地三街9号金隅嘉华大厦B座B-14,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京金隅嘉华大厦店),"116.308554,40.036180",32.0,4.6,599.0
慈云寺北里209号远洋未来汇CF1-25、26,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(远洋未来汇店),"116.492557,39.915934",31.0,4.6,974.0
回龙观镇北清路1号院七号楼永旺国际购物中心1层NO100区域1层NO127,北京市,餐饮服务;冷饮店;冷饮店,50700,昌平区,喜茶(昌平永旺店),"116.289624,40.096555",28.0,4.8,1478.0
阜石路300号一层118号,北京市,餐饮服务;冷饮店;冷饮店,50700,石景山区,喜茶(喜隆多店),"116.171846,39.923157",33.0,4.8,1307.0
欣宁街15号北京荟聚中心L1层6-01-26-L1,北京市,餐饮服务;冷饮店;冷饮店,50700,大兴区,喜茶(荟聚中心店),"116.327124,39.787782",41.0,4.9,4636.0
望京阜安西路11号楼望京合生麒麟社L1-123,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京望京麒麟社店),"116.477813,39.996779",30.0,4.8,4239.0
朝阳公园路6号SOLANA蓝色港湾湖畔美食街L1 K140,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(蓝色港湾PINK店),"116.476918,39.949015",33.0,4.8,4615.0
颐和园路200号等5幢龙湖·星悦荟A馆-L1-25,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(龙湖星悦荟店),"116.291094,39.998064",16.0,4.8,1375.0
翠微街12号北京印象城一层45号,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京翠微印象城店),"116.303391,39.912595",30.0,4.7,1418.0
光华东里8号院中海广场1号楼F1-10单元铺位北门处,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京中海广场店),"116.456314,39.910979",50.0,4.6,1120.0
酒仙桥路4号北京正东动力公司综合楼一层,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(751时尚广场DP店),"116.498073,39.984413",33.0,4.8,
龙德广场1层F157号商铺(肯德基旁),北京市,餐饮服务;冷饮店;冷饮店,50700,昌平区,喜茶(北京龙德广场店),"116.415058,40.060254",20.0,4.8,2350.0
复兴路69号北京市五棵松华熙LIVE内G25号1-2层东南侧,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京五棵松华熙店),"116.277973,39.909007",29.0,4.9,5130.0
建国路91号金地中心L1楼L111-L112(ZARA旁),北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(金地广场店),"116.474850,39.909033",24.0,4.7,3032.0
曙光西里甲5号院24号楼华润置地·凤凰汇购物中心第层第(L15B、L116A)号,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京凤凰汇店),"116.457642,39.963175",31.0,4.7,3126.0
西单北大街130号君太百货2楼f-08,北京市,餐饮服务;冷饮店;冷饮店,50700,西城区,喜茶(北京君太百货DP店),"116.373360,39.909208",28.0,4.8,5724.0
"常通路1号院1号楼龙湖(北京长楹天街)A栋-1F-02,A栋-1F-C05",北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京长楹天街店),"116.597404,39.924900",28.0,4.8,3815.0
"三里屯路19号院6号楼S6-11a单元,MAC对面",北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(北京三里屯太古里店),"116.454670,39.935132",34.0,4.9,13253.0
远大路1号金源新燕莎mall东区一层1015K商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京金源新燕莎店),"116.288513,39.958270",31.0,4.8,2511.0
崇文门外大街18号国瑞购物中心1幢F1-27号商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,东城区,喜茶(北京崇文门国瑞店),"116.419294,39.898989",30.0,4.8,6338.0
中关村大街19号新中关大厦1层L103号北门入口处,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(新中关购物中心DP店),"116.315515,39.978462",25.0,4.9,7670.0
海淀大街27号8号楼一层Z1005室商铺,北京市,餐饮服务;冷饮店;冷饮店,50700,海淀区,喜茶(北京中关村创业大街店),"116.307437,39.982587",30.0,4.7,429.0
朝阳北路101号朝阳大悦城1层28号,北京市,餐饮服务;冷饮店;冷饮店,50700,朝阳区,喜茶(朝阳大悦城店),"116.519135,39.924075",32.0,4.8,13178.0
